name,zip_code,city,street,appt,country,code
AS SEB PANK,15010,TALLINN,TORNIMAE,"2, FLOOR 10",ESTONIA,
BNP PARIBAS FORTIS (FORTIS BANK SA/NV),1000,BRUSSELS,MONTAGNE DU PARC,3,BELGIUM,
AMONATBONK THE STATE SAVING BANK REPUBLIC OF TAJIKISTAN,734013,DUSHANBE,LOHUTI ,24,TAJIKISTAN,
ARAB TUNISIAN BANK,1080,TUNIS,RUE HEDI NOUIRA,9,TUNISIA,
AS MERIDIAN TRADE BANK,1772,RIGA,ELIZABETES IELA,57,LATVIA,
OBERBANK AG,4020,LINZ,UNTERE DONAULAENDE,28,AUSTRIA,
ING BANK N.V.,1102 MG,AMSTERDAM,BIJLMERPLEIN,888,NETHERLANDS,
MKB BANK ZRT,1056,BUDAPEST,VACI U,38,HUNGARY,
ABN AMRO BANK N.V.,1082 PP,AMSTERDAM,GUSTAV MAHLERLAAN,10,NETHERLANDS,
UNICREDIT BANK AUSTRIA AG,1010,VIENNA,SCHOTTENGASSE,6-8,AUSTRIA,FN 150714 p
"BANK OF AMERICA, N.A.",222,,BROADWAY,222,UNITED STATES OF AMERICA,CA9-184-01-01
Bank of America Merrill Lynch,99499,SINGAPORE,HARBOURFRONT PLACE,2,SINGAPORE,
BANCA CARIGE SPA,6000,NICE,RUE MACCARANI,8,FRANCE,
BANK OF CHINA (BEIJING BRANCH),100010,BEIJING,CHAO YANG MEN NEI DA JIE DONGCHENG DISTRICT,2,CHINA,
BANK LEUMI LE ISRAEL B.M.,61000,TEL-AVIV,YEHUDA HALEVI,32-34,ISRAEL,
LLOYDS BANK PLC,EC2V7HN,LONDON,GRESHAM STREET,25,United Kingdom of Great Britain and Northern Ireland,
BANK RESPUBLIKA OJSC,AZ1000,BAKU, KHAQANI STR,21,AZERBAIJAN,
Banca Popolare di Vicenza,36100,VICENZA,VIA BATTAGLION FRAMARIN,,ITALY,
BANCA POPOLARE DI SONDRIO,23100,SONDRIO,PIAZZA GARIBALDI,16,ITALY,
BARCLAYS BANK PLC,E14 5HP,LONDON,CHURCHILL PLACE,1,United Kingdom of Great Britain and Northern Ireland,
"BANK OF AMERICA, N.A.",222,NEW YORK,BROADWAY,222,UNITED STATES OF AMERICA,CA9-184-01-01
BNP-PARIBAS SA,75450 CEDEX 09,PARIS,BOULEVARD DES ITALIENS,16,FRANCE,
WASHINGTON MUTUAL,11413,NEW YORK,"SPRINGFIELD GARDENS,NY",134-40,UNITED STATES OF AMERICA,
DANSKE BANK A/S ,1092,COPENHAGEN,HOLMENS KANAL ,2-12,DENMARK,61 12 62 28
"JPMORGAN CHASE BANK, N.A.",10017,NEW YORK,PARK AVENUE,270,UNITED STATES OF AMERICA,
HSBC BANK (VIETNAM) LTD,,HANOI,DONG KHOI STREET,235,Viet Nam,
"CAIXABANK, S.A.",8028,BARCELONA,AVENIDA DIAGONAL,621-629,SPAIN,
QATAR NATIONAL BANK,,DOHA,CORNICHE ROAD,,QATAR,
KBC BANK NV,1080,BRUSSELS,HAVENLAAN,2,BELGIUM,
KEB HANA BANK,100-793,SEOUL,"HEAD OFFICE 66, EULJI-RO, JUNG-GU",,Korea (Republic of),
KOMERCIJALNA BANKA AD SKOPJE,1000,SKOPJE,UL.ORCE NIKOLOV,3,Macedonia (the former Yugoslav Republic of),
COMMERCIAL BANK OF AFRICA LTD.,,NAIROBI,CBA BUILDING STANDARD AND WABERA STREETS,,KENYA,
MEINL BANK A.G.,1014,VIENNA,BAUERNMARKT,2,AUSTRIA,
MALAYAN BANKING BERHAD,50050,KUALA LUMPUR,MENARA MAYBANK JALAN TUN PERAK,FLOOR 8 10,MALAYSIA,
NATIONAL WESTMINSTER BANK PLC,EC2M 4XB,LONDON,"PREMIER PLACE, DEVONSHIRE SQUARE",,United Kingdom of Great Britain and Northern Ireland,929027
NATIONAL BANK OF KUWAIT S.A.K.P.,13001,KUWAIT,ABDULLAH SALEM STREET,,KUWAIT,
NORDEA BANK AB,10571,STOCKHOLM,HAMNGATAN,10,SWEDEN,
UBS SWITZERLAND AG,8098,ZURICH,BAHNHOFSTRASSE,45,SWITZERLAND,CHE-412.669.376
STADTSPARKASSE AUGSBURG,86150,AUGSBURG,HALDERSTRASSE,3-5,GERMANY,
RAIFFEISENLANDESBANK NIEDEROESTERREICH-WIEN AG,1020,VIENNA,FRIEDRICH WILHELM RAIFFEISENPLATZ,1,AUSTRIA,
ROTHSCHILD BANK AG,8034,ZURICH,ZOLLIKERSTRASSE,181,SWITZERLAND,
SBERBANK (YUGO-ZAPADNY HEAD OFFICE),355035,STAVROPOL,LENINA STR,361,RUSSIAN FEDERATION,
BANK OF NOVA SCOTIA,M5H 1H1,TORONTO,KING STREET WEST,44,CANADA,
SOCIETE GENERALE,75009,PARIS,BD HAUSSMANN,29,FRANCE,
STANDARD CHARTERED BANK,EC2V5DD,LONDON,BASINGHALL AVENUE,1,United Kingdom of Great Britain and Northern Ireland,
CANADIAN IMPERIAL BANK OF COMMERCE,M5G 2M8,TORONTO,BAY STREET,700595,CANADA,
CITIBANK N.A.,10022-4617,NEW YORK,PARK AVENUE,399,UNITED STATES OF AMERICA,
"CITIZENS BANK, NA",02903-1339,PROVIDENCE,CITIZENS PLAZA,1,UNITED STATES OF AMERICA,
TATRA BANKA A.S.,811 06,BRATISLAVA,HODZOVO NAMESTIE,3,SLOVAKIA,
TBC BANK,102,TBILISI,MARJANISHVILI STREET,7,GEORGIA,
TOJIKSODIROTBONK,734012,DUSHANBE,DEHLAVI STREET,4,Tajikistan,
"WELLS FARGO BANK, N.A.",97201,PORTLAND,"WELLS FARGO BANK, N.A.",1300,UNITED STATES OF AMERICA,
